	tp	ep	mbs	gbs	lr	datasize	hs
Model 2	1	1	4	256	0.00173385	5	384
Model 2	1	1	4	256	0.002145	10	384
Model 2	1	1	4	256	0.00242934	15	384
Model 2	1	1	4	256	0.00265365	20	384
Model 2	1	1	4	256	0.00284181	25	384
Model 2	1	1	4	512	0.00434939	100	384
Model 2	1	1	4	768	0.00492593	150	384
							
Model 3	1	2	2	256	0.000974062	5	576
Model 3	1	2	2	256	0.00120504	10	576
Model 3	1	2	2	256	0.00136478	15	576
Model 3	1	2	2	256	0.0014908	20	576
Model 3	1	2	2	256	0.0015965	25	576
Model 3	1	2	2	512	0.00244345	100	576
Model 3	1	2	2	768	0.00276734	150	576
							
Model 4	1	2	4	256	0.000650784	5	768
Model 4	1	2	4	256	0.000805106	10	768
Model 4	1	2	4	256	0.000911828	15	768
Model 4	1	2	4	256	0.000996023	20	768
Model 4	1	2	4	256	0.00106665	25	768
Model 4	1	2	4	512	0.0016325	100	768
Model 4	1	2	4	768	0.0018489	150	768
							
Model 5	1	2	4	256	0.000362736	5	1152
Model 5	1	2	4	256	0.000448752	10	1152
Model 5	1	2	4	256	0.000508237	15	1152
Model 5	1	2	4	256	0.000555166	20	1152
Model 5	1	2	4	256	0.000594531	25	1152
Model 5	1	2	4	512	0.000909927	100	1152
Model 5	1	2	4	768	0.00103054	150	1152
							
Model 6	1	2	3	256	0.000240484	5	1536
Model 6	1	2	3	256	0.000297511	10	1536
Model 6	1	2	3	256	0.000336948	15	1536
Model 6	1	2	3	256	0.000368061	20	1536
Model 6	1	2	3	256	0.000394158	25	1536
Model 6	1	2	3	512	0.000603258	100	1536
Model 6	1	2	3	768	0.000683224	150	1536
							
Model 7	1	2	2	256	0.000159595	5	2048
Model 7	1	2	2	256	0.000197441	10	2048
Model 7	1	2	2	256	0.000223613	15	2048
Model 7	1	2	2	256	0.00024426	20	2048
Model 7	1	2	2	256	0.00026158	25	2048
Model 7	1	2	2	512	0.000400347	100	2048
Model 7	1	2	2	768	0.000453415	150	2048
